,SPECIESCODE,MRRI_CODE,SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,GENUS,SPECIES,SciName
265,8729010105,A061,ACIPENSER OXYRINCHUS,ATLANTIC STURGEON,A.,oxyrinchus,A. oxyrinchus
266,6189022201,D143,GLYPTOXANTHUS EROSUS,ERODED MUD CRAB,G.,erosus,G. erosus
267,6189021501,D150,PSEUDOMEDAEUS AGASSIZII,ROUGH RUBBLE CRAB,P.,agassizii,P. agassizii
268,8835170101,A198,PRIACANTHUS ARENATUS,BIGEYE,P.,arenatus,P. arenatus
269,8850030302,A360,SCOMBER SCOMBRUS,ATLANTIC MACKEREL,S.,scombrus,S. scombrus
270,6183060227,D084,PAGURUS ANNULIPES,BROWN BANDED HERMIT CRAB,P.,annulipes,P. annulipes
271,6189060405,D166,PINNIXA CHAETOPTERANA,TUBE PEA CRAB,P.,chaetopterana,P. chaetopterana
272,8850030503,A363,SCOMBEROMORUS REGALIS,PAINTED MACKEREL,S.,regalis,S. regalis
273,6183120103,D515,PETROLISTHES ARMATUS,GREEN PORCELAIN CRAB,P.,armatus,P. armatus
275,8708020530,A615,CARCHARHINUS BREVIPINNA,SPINNER SHARK,C.,brevipinna,C. brevipinna
276,6183160104,D503,PAGURISTES HUMMI,BLUE-SPOT HERMIT CRAB,P.,hummi,P. hummi
277,5802010101,F001,LIMULUS POLYPHEMUS,HORSESHOE CRAB,L.,polyphemus,L. polyphemus
278,8860020103,A425,ALUTERUS MONOCEROS,UNICORN FILEFISH,A.,monoceros,A. monoceros
279,6185020105,D103,HYPOCONCHA PARASITICA,ROUGH SHELLBACK CRAB,H.,parasitica,H. parasitica
280,8738020201,B566,MEGALOPS ATLANTICUS,TARPON,M.,atlanticus,M. atlanticus
281,8786010101,A113,LOPHIUS AMERICANUS,GOOSEFISH,L.,americanus,L. americanus
282,8851020403,A518,PSENES PELLUCIDUS,BLUEFIN DRIFTFISH,P.,pellucidus,P. pellucidus
283,6189060701,D275,PINNAXODES FLORIDENSIS,POLKADOTTED PEA CRAB,P.,floridensis,P. floridensis
284,8747010101,A082,ALOSA SAPIDISSIMA,AMERICAN SHAD,A.,sapidissima,A. sapidissima
285,6189060414,D491,PINNIXA FLORIDANA,UNNAMED PEA CRAB,P.,floridana,P. floridana
286,8803010302,B416,HYPORHAMPHUS MEEKI,AMERICAN HALFBEAK,H.,meeki,H. meeki
287,8792010605,A766,OPHIDION JOSEPHI,CRESTED CUSK-EEL,O.,josephi,O. josephi
288,8787020203,A596,ANTENNARIUS RADIOSUS,SINGLESPOT FROGFISH,A.,radiosus,A. radiosus
289,8847010603,B160,GOBIOSOMA ROBUSTUM,CODE GOBY,G.,robustum,G. robustum
290,8858030202,A594,ACHIRUS LINEATUS,LINED SOLE,A.,lineatus,A. lineatus
291,8805020301,A155,MENIDIA BERYLLINA,TIDEWATER SILVERSIDE,M.,beryllina,M. beryllina
292,8803020101,A140,ABLENNES HIANS,FLAT NEEDLEFISH,A.,hians,A. hians
293,8842090307,AA39,LABRISOMUS NUCHIPINNIS,HAIRY BLENNY,L.,nuchipinnis,L. nuchipinnis
294,8820020102,A167,SYNGNATHUS FLORIDAE,BERMUDA DUSKY PIPEFISH,S.,floridae,S. floridae
295,8787040109,A557,OGCOCEPHALUS CORNIGER,LONGNOSE BATFISH,O.,corniger,O. corniger
296,3737040301,H005,STOMOLOPHUS MELEAGRIS,CANNONBALL JELLY,S.,meleagris,S. meleagris
297,6189020501,D155,EURYPANOPEUS DEPRESSUS,FLATBACK MUD CRAB,E.,depressus,E. depressus
298,6189070701,D175,PLANES MINUTUS,GULFWEED CRAB,P.,minutus,P. minutus
299,8713040124,,LEUCORAJA GARMANI,ROSETTE SKATE,L.,garmani,L. garmani
300,8835270202,A209,ECHENEIS NEUCRATOIDES,WHITEFIN SHARKSUCKER,E.,neucratoides,E. neucratoides
301,8713030102,B328,TORPEDO NOBILIANA,ATLANTIC TORPEDO,T.,nobiliana,T. nobiliana
302,8787040101,A120,OGCOCEPHALUS VESPERTILIO,LONGNOSE BATFISH,O.,vespertilio,O. vespertilio
303,6183120401,D073,POLYONYX GIBBESI,EASTERN TUBE CRAB,P.,gibbesi,P. gibbesi
304,8857030202,A409,ETROPUS MICROSTOMUS,SMALLMOUTH FLOUNDER,E.,microstomus,E. microstomus
305,6189011101,D526,CHARYBDIS HELLERII,INDO-PACIFIC SWIMMING CRAB,C.,hellerii,C. hellerii
306,8713040116,AA37,LEUCORAJA OCELLATA,WINTER SKATE,L.,ocellata,L. ocellata
307,6191030302,E485,CORONIS SCOLOPENDRA,CORONIS SCOLOPENDRA,C.,scolopendra,C. scolopendra
308,8861030201,A450,DIODON HYSTRIX,PORCUPINEFISH,D.,hystrix,D. hystrix
309,8861040101,A452,MOLA MOLA,OCEAN SUNFISH,M.,mola,M. mola
310,8851010201,B201,HYPEROGLYPHE PERCIFORMIS,BARRELFISH,H.,perciformis,H. perciformis
311,8835020401,A883,EPINEPHELUS ITAJARA,JEWFISH,E.,itajara,E. itajara
316,8791040101,A584,MERLUCCIUS BILINEARIS,SILVER HAKE,M.,bilinearis,M. bilinearis
317,8747010501,A086,DOROSOMA CEPEDIANUM,GIZZARD SHAD,D.,cepedianum,D. cepedianum
318,8840140301,A329,KATHETOSTOMA ALBIGUTTA,LANCER STARGAZER,K.,albigutta,K. albigutta
319,8741130901,A075,ECHIOPHIS INTERTINCTUS,SPOTTED SPOON-NOSE EEL,E.,intertinctus,E. intertinctus
322,8835440106,A993,CYNOSCION ARENARIUS,SAND SEATROUT,C.,arenarius,C. arenarius
324,6187020601,D309,CRYPTOPODIA CONCAVA,CRYPTOPODIA CONCAVA,C.,concava,C. concava
325,8741130601,,LETHARCHUS VELIFER,SAILFIN EEL,L.,velifer,L. velifer
326,8713050401,A054,GYMNURA MICRURA,SMOOTH BUTTERFLY RAY,G.,micrura,G. micrura
328,6187020801,,HETEROCRYPTA GRANULATA,SMOOTH ELBOW CRAB,H.,granulata,H. granulata
