SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,SpeciesCommonNameNew,Habitat,OtherCategory,GENUS,SPECIES,Species 2,Species,Identifier
MENIDIA MENIDIA,ATLANTIC SILVERSIDE,Atlantic Silverside,Pelagic,Forage Fishes,M, MENIDIA,M. menidia,M. menidia,A
MENIPPE MERCENARIA,FLORIDA STONE CRAB,Florida Stone Crab,Demersal,Crustacean,M, MERCENARIA,M. mercenaria,M. mercenaria,A
MENTICIRRHUS AMERICANUS,SOUTHERN KINGFISH,Southern Kingfish,Demersal,,M, AMERICANUS,M. americanus,M. americanus,A
MENTICIRRHUS LITTORALIS,GULF KINGFISH,Gulf Kingfish,Demersal,,M, LITTORALIS,M. littoralis,M. littoralis,A
MENTICIRRHUS SAXATILIS,NORTHERN KINGFISH,Northern Kingfish,Demersal,,M, SAXATILIS,M. saxatilis,M. saxatilis,A
MICROPOGONIAS UNDULATUS,ATLANTIC CROAKER,Atlantic Croaker,Demersal,,M, UNDULATUS,M. undulatus,M. undulatus,A
MONACANTHUS SPP,MONACANTHUS FILEFISHES,Filefishes,Demersal,,M, SPP,M. spp,Monacanthus spp.,A
MONACANTHUS TUCKERI,SLENDER FILEFISH,Slender Filefish,Demersal,,M, TUCKERI,M. tuckeri,M. tuckeri,A
MORONE AMERICANA,,White Perch,Demersal,,M, AMERICANA,M. americana,M. americana,A
MORONE SAXATILIS,STRIPED BASS,Striped Bass,Pelagic,,M, SAXATILIS,M. saxatilis,M. saxatilis,A
MUGIL CEPHALUS,STRIPED MULLET,Striped Mullet,Demersal,,M, CEPHALUS,M. cephalus,M. cephalus,A
MUGIL CUREMA,WHITE MULLET,White Mullet,Demersal,,M, CUREMA,M. curema,M. curema,A
MUSTELUS CANIS,SMOOTH DOGFISH,Smooth Dogfish,Demersal,,M, CANIS,M. canis,M. canis,A
MYCTEROPERCA BONACI,BLACK GROUPER,Black Grouper,Demersal,,M, BONACI,M. bonaci,M. bonaci,A
MYCTEROPERCA MICROLEPIS,GAG,Gag,Demersal,,M, MICROLEPIS,M. microlepis,M. microlepis,A
MYLIOBATIS FREMINVILLEI,BULLNOSE RAY,Bullnose Ray,Demersal,Elasmobranchs,M, FREMINVILLEI,M. freminvillei,M. freminvillei,A
NEOGASTROPODA STENOGLOSSA,CONCHS,Whelks,Demersal,,N, STENOGLOSSA,N. stenoglossa,N. stenoglossa,A
OLIGOPLITES SAURUS,LEATHERJACKET,Leatherjacket,Pelagic,,O, SAURUS,O. saurus,O. saurus,A
OPHIDIIDAE SPP,CUSK EEL,Cusk Eels,Demersal,,O, SPP,O. spp,Ophidion spp.,A
OPHIDION SPP,CUSK-EELS,Cusk Eels,Demersal,,O, SPP,O. spp,Ophidion spp.,A
OPHIDION HOLBROOKI,BANK CUSK-EEL,Bank Cusk-Eel,Demersal,,O, HOLBROOKI,O. holbrooki,O. holbrooki,A
OPHIDION MARGINATUM,STRIPED CUSK-EEL,Striped Cusk-Eel,Demersal,,O, MARGINATUM,O. marginatum,O. marginatum,A
OPISTHONEMA OGLINUM,ATLANTIC THREAD HERRING,Atlantic Thread Herring,Pelagic,Forage Fishes,O, OGLINUM,O. oglinum,O. oglinum,A
OPSANUS PARDUS,LEOPARD TOADFISH,Leopard Toadfish,Demersal,,O, PARDUS,O. pardus,O. pardus,A
OPSANUS TAU,OYSTER TOADFISH,Oyster Toadfish,Demersal,,O, TAU,O. tau,O. tau,A
ORTHOPRISTIS CHRYSOPTERA,PIGFISH,Pigfish,Demersal,,O, CHRYSOPTERA,O. chrysoptera,O. chrysoptera,A
OVALIPES OCELLATUS,LADY CRAB,Lady Crab,Demersal,Crustacean,O, OCELLATUS,O. ocellatus,O. ocellatus,A
PAGRUS PAGRUS,RED PORGY,Red Porgy,Demersal,,P, PAGRUS,P. pagrus,P. pagrus,A
PAGURIDAE SPP,RIGHT-HANDED HERMIT CRAB,Right-Handed Hermit Crab,Demersal,Crustacean,P, SPP,P. spp,Paguridae spp.,A
PALAEMONETES SPP,,Grass Shrimps,Demersal,Crustacean,P, SPP,P. spp,Palaemonetes spp.,A
PANOPEUS SPP,PANOPEUS MUD CRABS,Mud Crabs,Demersal,Crustacean,P, SPP,P. spp,Panopeus spp.,A
PANOPEUS HERBSTII,ATLANTIC MUD CRAB,Mud Crabs,Demersal,Crustacean,P, HERBSTII,P. herbstii,P. herbstii,A
PARABLENNIUS MARMOREUS,SEAWEED BLENNY,Gobies and Blennies,Demersal,,P, MARMOREUS,P. marmoreus,P. marmoreus,A
PARALICHTHYS SPP,FLOUNDER,Other Flounders,Demersal,,P, SPP,P. spp,Paralichthys spp.,A
PARALICHTHYS ALBIGUTTA,GULF FLOUNDER,Gulf Flounder,Demersal,,P, ALBIGUTTA,P. albigutta,P. albigutta,A
PARALICHTHYS DENTATUS,SUMMER FLOUNDER,Summer Flounder,Demersal,,P, DENTATUS,P. dentatus,P. dentatus,A
PARALICHTHYS LETHOSTIGMA,SOUTHERN FLOUNDER,Southern Flounder,Demersal,,P, LETHOSTIGMA,P. lethostigma,P. lethostigma,A
PARALICHTHYS OBLONGUS,FOURSPOT FLOUNDER,Fourspot Flounder,Demersal,,P, OBLONGUS,P. oblongus,P. oblongus,A
PARAPENAEUS LONGIROSTRIS,DEEP-WATER ROSE SHRIMP,Deep-Water Rose Shrimp,Demersal,Crustacean,P, LONGIROSTRIS,P. longirostris,P. longirostris,A
PENAEIDAE SPP,,Other Shrimp,Demersal,Crustacean,P, SPP,P. spp,Penaeidae spp.,A
PENAEUS MONODON,GIANT TIGER PRAWN,Giant Tiger Prawn,Demersal,Crustacean,P, MONODON,P. monodon,P. monodon,A
PEPRILUS ALEPIDOTUS,HARVESTFISH,Harvestfish,Pelagic,,P, ALEPIDOTUS,P. alepidotus,P. alepidotus,A
PEPRILUS TRIACANTHUS,BUTTERFISH,Butterfish,Pelagic,,P, TRIACANTHUS,P. triacanthus,P. triacanthus,A
PERCA FLAVESCENS,YELLOW PERCH,Yellow Perch,Demersal,,P, FLAVESCENS,P. flavescens,P. flavescens,A
PINNIXA CHAETOPTERANA,TUBE PEA CRAB,Tube Pea Crab,Demersal,Crustacean,P, CHAETOPTERANA,P. chaetopterana,P. chaetopterana,A
POGONIAS CROMIS,BLACK DRUM,Black Drum,Demersal,,P, CROMIS,P. cromis,P. cromis,A
POLYDACTYLUS OCTONEMUS,ATLANTIC THREADFIN,Atlantic Threadfin,Demersal,,P, OCTONEMUS,P. octonemus,P. octonemus,A
POMATOMUS SALTATRIX,BLUEFISH,Bluefish,Pelagic,,P, SALTATRIX,P. saltatrix,P. saltatrix,A
PORTUNIDAE SPP,SWIMMING CRABS,Swimming Crabs,Demersal,Crustacean,P, SPP,P. spp,Portunidae,A
PORTUNUS SPP,,Swimming Crabs,Demersal,Crustacean,P, SPP,P. spp,Portunus spp.,A
PORTUNUS GIBBESII,IRIDESCENT SWIMMING CRAB,Iridescent Swimming Crab,Demersal,Crustacean,P, GIBBESII,P. gibbesii,P. gibbesii,A
PORTUNUS SAYI,SARGASSUM SWIMMING CRAB,Sargassum Swimming Crab,Demersal,Crustacean,P, SAYI,P. sayi,P. sayi,A
PORTUNUS SPINIMANUS,BLOTCHED SWIMMING CRAB,Blotched Swimming Crab,Demersal,Crustacean,P, SPINIMANUS,P. spinimanus,P. spinimanus,A
PRIONOTUS SPP,SEA ROBIN,Sea Robin,Demersal,,P, SPP,P. spp,Prionotus spp.,A
PRIONOTUS CAROLINUS,NORTHERN SEAROBIN,Northern Searobin,Demersal,,P, CAROLINUS,P. carolinus,P. carolinus,A
PRIONOTUS EVOLANS,STRIPED SEAROBIN,Striped Searobin,Demersal,,P, EVOLANS,P. evolans,P. evolans,A
PRIONOTUS RUBIO,BLACKWING SEAROBIN,Blackwing Searobin,Demersal,,P, RUBIO,P. rubio,P. rubio,A
PRIONOTUS SCITULUS,LEOPARD SEAROBIN,Leopard Searobin,Demersal,,P, SCITULUS,P. scitulus,P. scitulus,A
PRIONOTUS TRIBULUS,BIGHEAD SEAROBIN,Bighead Searobin,Demersal,,P, TRIBULUS,P. tribulus,P. tribulus,A
RACHYCENTRON CANADUM,COBIA,Cobia,Pelagic,,R, CANADUM,R. canadum,R. canadum,A
