"","Speciesscientificname","Speciescommonname","Species"
"86","centropristis striata","black sea bass","C. striata"
"87","centropristis ocyurus","bank sea bass","C. ocyurus"
"88","decapterus punctatus","round scad","D. punctatus"
"89","opistognathidae","smilers","O. opistognathidae"
"90","gobiosoma ginsburgi","gobies and blennies","G. ginsburgi"
"91","citharichthys spilopterus","bay whiff","C. spilopterus"
"92","paralichthys albigutta","gulf flounder","P. albigutta"
"93","balistes capriscus","gray triggerfish","B. capriscus"
"94","acanthostracion quadricornis","scrawled cowfish","A. quadricornis"
"95","rochinia crassa","inflated spiny crab","R. crassa"
"96","ophidion marginatum","striped cusk-eel","O. marginatum"
"97","urophycis floridana","southern hake","U. floridana"
"98","lagodon rhomboides","pinfish","L. rhomboides"
"99","bairdiella chrysoura","silver perch","B. chrysoura"
"100","astroscopus y-graecum","southern stargazer","A. y-graecum"
"101","trichiurus lepturus","atlantic cutlassfish","T. lepturus"
"102","peprilus paru","northern harvestfish","P. paru"
"103","scyllarus chacei","chace slipper lobster","S. chacei"
"104","stenorhynchus seticornis","yellowline arrow crab","S. seticornis"
"105","caretta caretta","loggerhead","C. caretta"
"106","gymnura micrura","smooth butterfly ray","G. micrura"
