"","lat_lon","gridID","dist_inlets","Wbd","Wbd_type"
"261","34.00167_-77.93722",68,10481.9882998208,"Cape Fear River","River"
"262","34.08778_-77.92389",69,4960.34704183068,"Cape Fear River","River"
"263","33.99972_-77.93222",68,10403.4141213772,"Cape Fear River","River"
"264","34.03917_-77.92",69,6266.57832078477,"Cape Fear River","River"
"265","34.01306_-77.91694",69,8403.10802465886,"Cape Fear River","River"
"266","34.13028_-77.92833",99,7801.55063767739,"Cape Fear River","River"
"267","34.10861_-77.94778",98,7806.94414700927,"Cape Fear River","River"
"268","34.03194_-77.91944",69,6817.6085515693,"Cape Fear River","River"
"269","34.0125_-77.91722",69,8469.93215293611,"Cape Fear River","River"
"270","34.135_-77.9325",98,8448.22747767187,"Cape Fear River","River"
"271","34.02056_-77.93194",68,8528.23821561919,"Cape Fear River","River"
"272","34.04083_-77.92139",69,6233.65470491306,"Cape Fear River","River"
"273","34.06222_-77.94056",68,6636.8838496326,"Cape Fear River","River"
"274","33.96556_-77.9375",38,13211.5202804723,"Cape Fear River","River"
"275","33.99528_-77.93306",68,10862.6286249051,"Cape Fear River","River"
"276","33.99833_-77.92056",69,10001.9079552802,"Cape Fear River","River"
"277","34.01917_-77.92833",69,8434.12387846648,"Cape Fear River","River"
"278","34.10472_-77.92556",99,5794.16508765657,"Cape Fear River","River"
"279","34.045_-77.92222",69,5992.13370269693,"Cape Fear River","River"
"280","34.11861_-77.95111",98,8605.4765884892,"Cape Fear River","River"
"281","34.09722_-77.92972",99,5777.42995740555,"Cape Fear River","River"
"282","34.06306_-77.94194",68,6734.92511225494,"Cape Fear River","River"
"283","34.05028_-77.94417",68,7413.98874679603,"Cape Fear River","River"
"284","34.0025_-77.93694",68,10391.8824975684,"Cape Fear River","River"
"285","34.11389_-77.94278",98,7677.79396835999,"Cape Fear River","River"
"286","34.11472_-77.94861",98,8188.20912447392,"Cape Fear River","River"
"287","34.00083_-77.93167",68,10272.1802144113,"Cape Fear River","River"
"288","34.12611_-77.95306",98,9212.32193616124,"Cape Fear River","River"
"289","34.0825_-77.925",69,4973.44918789805,"Cape Fear River","River"
"290","34.12778_-77.945",98,8731.28010770094,"Cape Fear River","River"
"291","33.97861_-77.92333",39,12095.7864270406,"Cape Fear River","River"
"292","34.08694_-77.94083",68,6479.89269167936,"Cape Fear River","River"
"293","34.10861_-77.92806",99,6216.28477407356,"Cape Fear River","River"
"294","34.04583_-77.94472",68,7681.00318091252,"Cape Fear River","River"
"295","34.00889_-77.91889",69,8894.77345413535,"Cape Fear River","River"
"296","34.005_-77.93361",68,9987.50757672059,"Cape Fear River","River"
"297","34.07444_-77.92583",69,5049.41818073005,"Cape Fear River","River"
"298","34.1225_-77.95111",98,8837.53614279368,"Cape Fear River","River"
"299","34.10361_-77.92806",99,5934.96389753594,"Cape Fear River","River"
"300","34.07472_-77.91583",69,4129.54752003631,"Cape Fear River","River"
"301","34.04278_-77.92306",69,6207.78185010682,"Cape Fear River","River"
"302","33.99361_-77.93389",38,11060.919879365,"Cape Fear River","River"
"303","34.12528_-77.95222",98,9096.04898796783,"Cape Fear River","River"
"304","34.02_-77.93",69,8459.83256072556,"Cape Fear River","River"
"305","34.04139_-77.92167",69,6211.30508431274,"Cape Fear River","River"
"306","34.05361_-77.9425",68,7123.1445415377,"Cape Fear River","River"
"307","34.12444_-77.94806",98,8729.71940056559,"Cape Fear River","River"
"308","34.065_-77.92278",69,4978.96627529972,"Cape Fear River","River"
"309","34.03222_-77.91944",69,6794.01617915956,"Cape Fear River","River"
"310","34.05528_-77.91917",69,5113.28618199336,"Cape Fear River","River"
"311","34.03194_-77.91889",69,6784.70224101466,"Cape Fear River","River"
"312","33.99389_-77.93417",38,11047.8969991279,"Cape Fear River","River"
"313","34.09667_-77.92611",99,5445.7253929702,"Cape Fear River","River"
